tracks,id,popularity,artist,artist_full,artist_id,album,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,name,Artist Gender
Life Goes On,249gnXrbfmV8NG6jTEMSwD,93,BTS,BTS,3Nrfpe0tUJi4K4DXYWgMUX,BE,2qehskW9lYGWfYb0xPZkrS,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,207481,popular,Male
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94,Justin Bieber,Justin Bieber feat. Chance the Rapper,1uNFoZAHBGtllmzznpCI3s,Holy,4hR7jjsPvRwwcHx8ntJSQS,0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919,212093,popular,Male
pov,1bj8x3ERN9gSc2NfJIpc76,77,Ariana Grande,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Positions,3BSzygCIET0gzTTIs7iB3y,0.474,0.533,0,-5.648,0,0.0559,0.36,0,0.101,0.165,131.762,201882,popular,Female
Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,87,MEDUZA,MEDUZA feat. Dermot Kennedy,0xRXCcSX89eobfrshSVdyu,Paradise,15sy3XQFShOFiDpKoxByyA,0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114,167903,popular,Male
For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,94,Pop Smoke,Pop Smoke feat. Lil Baby feat. DaBaby,0eDvMgVFoNV3TpwtrVCoTj,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,190476,popular,Male
Body,0A1hoCfMLkiAgvhWkkucJa,79,Megan Thee Stallion,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Good News,0KjckH1EE6HRRurMIXSc0r,0.914,0.732,8,-6.1,0,0.241,0.0166,0,0.107,0.469,94.066,171067,popular,Female
The Business,6f3Slt0GbA2bPZlz0aIFXN,87,Tiësto,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,The Business,2adSO4KU3FDjeM1PXCRDZm,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,popular,Male
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,93,Drake,Drake feat. Lil Durk,3TVXtAsR1Inumwj472S9r4,Laugh Now Cry Later (feat. Lil Durk),0qGdc7fNq9RNIPEzZufa43,0.761,0.518,0,-8.871,1,0.134,0.244,3.47E-05,0.107,0.522,133.976,261493,popular,Male
ALWAYS DO,3QCU8BT0zDS9LPVfEhRFEE,83,The Kid LAROI,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst,0.762,0.426,8,-6.865,1,0.113,0.0442,0,0.0858,0.582,167.827,151705,popular,Male
Head & Heart (feat. MNEK),4wosxLl0mAqhneDzya2MfY,76,Joel Corry,Joel Corry feat. MNEK,6DgP9otnZw5z6daOntINxp,Head & Heart (feat. MNEK),4w554Y1ts3lmzhn7hpfLBJ,0.732,0.874,8,-3.158,1,0.0662,0.168,1.17E-05,0.0489,0.905,122.961,166028,popular,Male
Diamonds,5hvwx5i67IwnCkjl9VHkNv,87,Sam Smith,Sam Smith,2wY79sveU1sp5g7SokKOiI,Diamonds,2IAyprsfyoPBGDvbLjgsN5,0.653,0.667,10,-6.764,0,0.0423,0.154,0,0.107,0.556,104.181,213869,popular,Male
Dynamite,0v1x6rN6JHRapa03JElljE,64,BTS,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Dynamite,3zWmE5c3alhuoPLphxjMVd,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,popular,Male
Head Shoulders Knees & Toes (feat. Norma Jean Martine),14ngWWxvUSnIMXgF6rzSk1,78,Ofenbach,Ofenbach feat. Quarterhead feat. Norma Jean Martine,4AKwRarlmsUlLjIwt38NLw,Head Shoulders Knees & Toes (feat. Norma Jean Martine),1h2sYjn95QeTA0rSBCoke0,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55E-06,0.121,0.6,124.962,156960,popular,Male
Wonder,5KCbr5ndeby4y4ggthdiAb,92,Shawn Mendes,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Wonder,7vif3nVzXURIrjGjHeHytB,0.333,0.637,1,-4.904,0,0.0581,0.131,1.80E-05,0.149,0.132,139.898,172693,popular,Male
Golden,45S5WTQEGOB1VHr1Q4FuPl,89,Harry Styles,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,popular,Male
my ex's best friend (with blackbear),70rFIfYN7lU6iTgUIVP42w,66,Machine Gun Kelly,Machine Gun Kelly feat. blackbear,6TIYQ3jFPwQSRmorSezPxX,my ex's best friend (with blackbear),0wypXkbH1LkcVRhlB9gvn5,0.728,0.685,5,-5.096,0,0.0433,0.00391,0,0.152,0.33,124.934,138970,popular,Male
Sofia,7B3z0ySL9Rr0XvZEAjWZzM,89,Clairo,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,popular,Female
At My Worst,0ri0Han4IRJhzvERHOZTMr,85,Pink Sweat$,Pink Sweat$,1W7FNibLa0O0b572tB2w7t,The Prelude,3Qj2vsFzmaB8jcH6Q60WIG,0.813,0.415,0,-5.926,1,0.0349,0.777,0,0.131,0.667,91.921,170345,popular,Male
Goosebumps,20McUFi8KCIVdNDLrkTDuZ,85,HVME,HVME,2o08sCWF5yyo2G4DCiT7T9,Goosebumps,49HjM8mnjS9PgYjSC03tkS,0.767,0.659,1,-7.429,1,0.0444,0.325,0,0.13,0.439,124.946,163208,popular,Male
Daisy,0AUvWawuP0ibk4SQ3sIZjk,89,Ashnikko,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,Daisy,5tRhwDUyr3HypAaJysxUki,0.834,0.663,8,-6.143,1,0.133,0.235,0,0.372,0.774,121.876,146523,popular,Female
Whoopty,1RSzyxqtIO4yX3EyiV4zT5,80,CJ,CJ,7arQA31aZVS8yS6zUveWzb,Whoopty,3ammnTkzxZhKONeV75MJ8A,0.714,0.609,3,-7.683,0,0.17,0.194,0,0.126,0.778,140.206,123480,popular,Male
BICHOTA,7vrJn5hDSXRmdXoR30KgF1,92,KAROL G,KAROL G,790FomKkXshlbRYZFtlgla,BICHOTA,6LO6I2uJMkc0u7GHBYHa4Y,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,popular,Female
Breaking Me,3H7ihDc1dqLriiWXwsc2po,91,Topic,Topic feat. A7S,0u6GtibW46tFX7koQ6uNJZ,Breaking Me,3nBQlhUvErkw8DVpF47WAn,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794,popular,Male
Mad at Disney,7aGyRfJWtLqgJaZoG9lJhE,88,salem ilese,salem ilese,3QJUFtGBGL05vo0kCJZsmT,Mad at Disney,1xWYSg7J7pxTZ113CJVy1P,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39E-06,0.692,0.715,113.968,136839,popular,Female
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,93,Harry Styles,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,popular,Male
Se Te Nota (with Guaynaa),11EnQRgRMJwMAesfkB5pnu,92,Lele Pons,Lele Pons feat. Guaynaa,6i3DxIlAqnDkwELLw4aVrx,Se Te Nota (with Guaynaa),4XiHCUNnGgnnN5xkGue4RF,0.905,0.686,0,-3.152,1,0.0664,0.0907,0,0.266,0.963,103.013,155825,popular,Female
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,93,DaBaby,DaBaby feat. Roddy Ricch,4r63FhuTkUYltbVAg5TQnk,BLAME IT ON BABY,623PL2MBg50Br5dLXC9E9e,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,popular,Male
Tyler Herro,4DuUwzP4ALMqpquHU0ltAB,88,Jack Harlow,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Tyler Herro,4Vd7lpztpJdmMt9hrLfXWe,0.794,0.756,5,-7.16,0,0.136,0.11,0,0.247,0.775,123.066,156498,popular,Male
Heather,4xqrdfXkTW4T0RauPLv3WA,93,Conan Gray,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,Kid Krow,2CMlkzFI2oDAy5MbyV7OV5,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,198040,popular,Male
